352044 ILHA SOLTEIRA;-;10;55;-;-;65
352050 INDAIATUBA;8;162;1366;11;4;1551
352060 INDIANA;-;-;238;-;-;238
352070 INDIAPORA;-;-;12;-;-;12
352080 INUBIA PAULISTA;-;-;266;1;1;268
352090 IPAUSSU;-;-;29;-;-;29
352100 IPERO;3;12;13;-;-;28
352110 IPEUNA;-;7;46;-;-;53
352115 IPIGUA;-;-;44;1;-;45
352130 IPUA;-;11;82;-;-;93
352140 IRACEMAPOLIS;-;-;87;-;-;87
352150 IRAPUA;-;45;8;1;-;54
352160 IRAPURU;-;6;146;-;-;152
352170 ITABERA;-;-;8;-;-;8
352180 ITAI;-;-;4;-;-;4
352190 ITAJOBI;1;38;1213;3;2;1257
352200 ITAJU;-;1;14;2;1;18
352210 ITANHAEM;-;1;95;2;-;98
352215 ITAOCA;-;-;1;-;-;1
352220 ITAPECERICA DA SERRA;-;36;10;-;-;46
352230 ITAPETININGA;-;-;69;-;-;69
352240 ITAPEVA;-;1;638;-;-;639
352250 ITAPEVI;-;16;48;1;-;65
352260 ITAPIRA;-;4;119;1;-;124
352265 ITAPIRAPUA PAULISTA;-;-;1;-;-;1
352270 ITAPOLIS;2;12;267;10;2;293
352280 ITAPORANGA;-;-;473;-;-;473
352290 ITAPUI;-;8;139;1;-;148
352300 ITAPURA;-;8;25;-;-;33
352310 ITAQUAQUECETUBA;-;6;358;1;-;365
352320 ITARARE;-;1;66;-;-;67
352330 ITARIRI;-;3;1;-;-;4
352340 ITATIBA;2;38;223;-;-;263
352350 ITATINGA;-;-;4;-;-;4
352360 ITIRAPINA;1;7;73;1;-;82
352370 ITIRAPUA;-;79;185;3;-;267
352380 ITOBI;-;14;2;-;-;16
352390 ITU;-;2;502;-;-;504
352400 ITUPEVA;-;11;160;-;-;171
352410 ITUVERAVA;-;17;507;2;3;529
352420 JABORANDI;-;17;81;-;-;98
352430 JABOTICABAL;7;86;462;-;-;555
352440 JACAREI;-;1;673;45;-;719
352450 JACI;-;4;265;9;-;278
352460 JACUPIRANGA;-;3;1;-;-;4
352470 JAGUARIUNA;-;-;471;2;-;473
352480 JALES;1;85;2670;3;2;2761
352490 JAMBEIRO;-;2;2;-;-;4
352500 JANDIRA;-;21;6;-;-;27
352510 JARDINOPOLIS;4;80;40;-;-;124
352520 JARINU;-;13;106;1;-;120
352530 JAU;-;6;720;1;-;727
352540 JERIQUARA;-;10;39;1;1;51
352550 JOANOPOLIS;-;2;8;1;-;11
