27,12,3,7,Monte Alegre do Sul
648,1560,17,258,Monte Alto
42,939,170,99,Monte Aprazível
509,405,5,22,Monte Azul Paulista
225,458,6,284,Monte Castelo
8,5,1,1,Monteiro Lobato
225,72,289,247,Monte Mor
584,1373,11,69,Morro Agudo
60,7,6,11,Morungaba
5,359,5,10,Motuca
92,249,197,19,Murutinga do Sul
218,7,2,196,Nantes
1073,78,26,145,Narandiba
20,10,5,19,Natividade da Serra
24,6,7,2,Nazaré Paulista
19,442,83,12,Neves Paulista
152,626,132,619,Nhandeara
35,335,34,32,Nipoã
18,666,337,25,Nova Aliança
,,1,1,Nova Campina
28,51,,2,Nova Canaã Paulista
10,206,11,33,Nova Castilho
569,605,30,60,Nova Europa
25,1219,320,193,Nova Granada
95,88,114,64,Nova Guataporanga
164,684,349,40,Nova Independência
25,101,3,253,Novais
4,323,262,132,Nova Luzitânia
456,451,422,379,Nova Odessa
141,2173,632,373,Novo Horizonte
765,146,8,47,Nuporanga
723,8,12,13,Ocauçu
13,1,,1,Óleo
388,1708,88,58,Olímpia
109,323,45,118,Onda Verde
34,205,250,201,Oriente
16,880,113,3,Orindiúva
1860,588,6,63,Orlândia
1184,441,188,259,Osasco
199,182,124,8,Oscar Bressane
4036,878,9,982,Osvaldo Cruz
1857,1705,84,1654,Ourinhos
166,49,311,146,Ouroeste
1272,525,54,681,Ouro Verde
986,453,48,239,Pacaembu
33,1023,516,32,Palestina
576,284,20,765,Palmares Paulista
78,943,102,72,Palmeira d'Oeste
938,36,36,1550,Palmital
2087,155,276,696,Panorama
317,2354,189,584,Paraguaçu Paulista
29,25,11,7,Paraibuna
327,107,12,51,Paraíso
5,1,55,1,Paranapanema
24,474,15,26,Paranapuã
831,150,21,901,Parapuã
3,3,,,Pardinho
8,4,12,358,Pariquera-Açu
1,80,46,295,Parisi
181,1908,2,9,Patrocínio Paulista
1345,679,158,483,Paulicéia
780,5299,170,169,Paulínia
7,19,,1,Paulistânia
197,343,52,42,Paulo de Faria
743,56,25,59,Pederneiras
10,2,2,1,Pedra Bela
16,84,242,61,Pedranópolis
250,164,,3,Pedregulho
63,318,32,146,Pedreira
124,15,11,23,Pedrinhas Paulista
3,1,44,32,Pedro de Toledo
41,3287,70,713,Penápolis
31,233,575,220,Pereira Barreto
22,26,195,,Pereiras
152,58,351,407,Peruíbe
172,778,5,388,Piacatu
9,7,5,5,Piedade
29,2,2,6,Pilar do Sul
2505,373,1237,1977,Pindamonhangaba
101,472,45,402,Pindorama
5,27,10,6,Pinhalzinho
237,101,2,57,Piquerobi
9,9,8,251,Piquete
8,33,6,5,Piracaia
3142,1445,5356,1427,Piracicaba
138,21,4,9,Piraju
1097,78,43,24,Pirajuí
233,237,33,199,Pirangi
22,20,4,10,Pirapora do Bom Jesus
2601,470,49,730,Pirapozinho
548,84,23,798,Pirassununga
355,97,14,8,Piratininga
238,795,42,112,Pitangueiras
69,488,103,35,Planalto
270,131,2,24,Platina
71,50,30,23,Poá
5,463,24,8,Poloni
251,142,90,488,Pompéia
46,22,123,7,Pongaí
620,306,19,172,Pontal
10,269,8,212,Pontalinda
9,106,25,50,Pontes Gestal
14,222,23,94,Populina
3,9,76,,Porangaba
3021,1475,449,44,Porto Feliz
57,94,235,119,Porto Ferreira
2376,55,60,2307,Potim
528,331,1551,99,Potirendaba
446,17,,45,Pracinha
1318,124,11,78,Pradópolis
287,226,3274,400,Praia Grande
12,,2,,Pratânia
93,3,4,3,Presidente Alves
1769,176,78,431,Presidente Bernardes
960,391,21,989,Presidente Epitácio
36159,7607,2155,6426,Presidente Prudente
512,913,60,523,Presidente Venceslau
125,172,33,146,Promissão
4,1,127,,Quadra
170,623,16,482,Quatá
89,584,61,158,Queiroz
36,71,12,102,Queluz
196,513,69,53,Quintana
29,50,104,2,Rafard
3360,276,53,2109,Rancharia
9,4,4,1,Redenção da Serra
614,1043,105,473,Regente Feijó
260,89,5,,Reginópolis
69,6,9,603,Registro
35,79,8,1,Restinga
1,4,,,Ribeira
35,582,3,3,Ribeirão Bonito
,2,,,Ribeirão Branco
6,105,29,1,Ribeirão Corrente
1411,37,4,78,Ribeirão do Sul
222,26,24,10,Ribeirão dos Índios
,3,,1,Ribeirão Grande
43,33,31,17,Ribeirão Pires
12124,7460,354,17758,Ribeirão Preto
3,2,287,,Riversul
27,16,10,6,Rifaina
206,491,22,35,Rincão
108,732,9,726,Rinópolis
699,365,194,1178,Rio Claro
221,21,57,11,Rio das Pedras
27,15,15,2,Rio Grande da Serra
5,459,13,26,Riolândia
2346,672,1328,876,Rosana
158,46,16,244,Roseira
91,116,145,111,Rubiácea
5,99,93,17,Rubinéia
34,10,10,361,Sabino
521,21,3,339,Sagres
85,44,18,34,Sales
319,54,2,16,Sales Oliveira
,,2,1,Salesópolis
542,89,6,284,Salmourão
58,97,59,21,Saltinho
1821,599,122,84,Salto
87,14,43,18,Salto de Pirapora
1829,138,14,172,Salto Grande
727,65,,244,Sandovalina
524,316,12,270,Santa Adélia
29,648,83,47,Santa Albertina
944,5974,653,1249,Santa Bárbara d'Oeste
63,12,9,5,Santa Branca
,167,39,66,Santa Clara d'Oeste
3,8,1,8,Santa Cruz da Conceição
75,19,17,22,Santa Cruz da Esperança
142,121,1,1063,Santa Cruz das Palmeiras
2443,2136,18,47,Santa Cruz do Rio Pardo
856,141,4,133,Santa Ernestina
139,1049,630,108,Santa Fé do Sul
47,336,40,97,Santa Gertrudes
60,55,65,20,Santa Isabel
34,719,2,10,Santa Lúcia
239,13,6,10,Santa Maria da Serra
510,575,47,22,Santa Mercedes
20,143,2,3,Santana da Ponte Pensa
81,132,74,37,Santana de Parnaíba
2,225,128,7,Santa Rita d'Oeste
42,800,36,524,Santa Rita do Passa Quatro
183,486,11,513,Santa Rosa de Viterbo
6,471,22,26,Santa Salete
1203,149,15,536,Santo Anastácio
283,155,112,42,Santo André
55,34,,9,Santo Antônio da Alegria
58,242,11,27,Santo Antônio de Posse
14,392,190,83,Santo Antônio do Aracanguá
4,4,,4,Santo Antônio do Jardim
4,2,3,2,Santo Antônio do Pinhal
107,231,3,100,Santo Expedito
166,175,182,44,Santópolis do Aguapeí
703,418,4431,380,Santos
4,,7,,São Bento do Sapucaí
91,221,291,104,São Bernardo do Campo
67,112,87,9,São Caetano do Sul
696,4276,123,634,São Carlos
15,391,8,68,São Francisco
221,88,36,1793,São João da Boa Vista
15,68,34,95,São João das Duas Pontes
7,227,49,164,São João de Iracema
490,192,22,158,São João do Pau d'Alho
490,26,2,81,São Joaquim da Barra
107,15,3,17,São José da Bela Vista
3,,1,6,São José do Barreiro
104,431,7,665,São José do Rio Pardo
9722,20250,21188,7264,São José do Rio Preto
1048,1696,621,454,São José dos Campos
2,7,5,4,São Lourenço da Serra
16,12,,9,São Luiz do Paraitinga
145,109,4,26,São Manuel
7,6,15,7,São Miguel Arcanjo
14517,12063,7628,2189,São Paulo
25,268,33,959,São Pedro
875,178,1,41,São Pedro do Turvo
81,37,9,12,São Roque
815,1094,413,363,São Sebastião
7,5,1,38,São Sebastião da Grama
80,44,2,477,São Simão
244,172,6120,267,São Vicente
5,,3,6,Sarapuí
35,66,,,Sarutaiá
23,186,24,93,Sebastianópolis do Sul
173,157,3,18,Serra Azul
358,320,33,402,Serrana
16,17,2,11,Serra Negra
103,3396,68,2424,Sertãozinho
70,1,4,396,Sete Barras
103,323,21,49,Severínia
1,1,1,14,Silveiras
17,59,17,35,Socorro
4670,1104,1229,1871,Sorocaba
16,156,826,118,Sud Mennucci
731,1006,349,683,Sumaré
505,450,77,35,Suzano
46,377,42,19,Suzanápolis
67,202,667,245,Tabapuã
1684,105,4,19,Tabatinga
88,156,87,82,Taboão da Serra
285,114,,28,Taciba
15,3,7,9,Taguaí
25,22,1,4,Taiaçu
39,56,,70,Taiúva
132,23,10,524,Tambaú
84,1582,859,545,Tanabi
,4,1,1,Tapiraí
6,1,2,289,Tapiratiba
3,222,1,6,Taquaral
6602,507,15,357,Taquaritinga
27,10,6,5,Taquarituba
,8,4,1,Taquarivaí
1223,217,15,354,Tarabai
601,731,18,153,Tarumã
39,24,20102,336,Tatuí
1590,1538,232,2192,Taubaté
4,,,1,Tejupá
408,3633,538,382,Teodoro Sampaio
61,176,2,6,Terra Roxa
514,283,546,13,Tietê
6,1,20,2,Timburi
2,1,13,2,Torre de Pedra
180,12,2,6,Torrinha
82,21,1,89,Trabiju
542,311,65,241,Tremembé
9,316,30,8,Três Fronteiras
7,1,4,4,Tuiuti
4224,3096,179,666,Tupã
1190,1295,217,810,Tupi Paulista
6,54,354,116,Turiúba
12,112,4,67,Turmalina
13,574,16,166,Ubarana
821,191,783,338,Ubatuba
33,10,,1,Ubirajara
61,374,87,56,Uchoa
3,54,102,9,União Paulista
20,1672,202,686,Urânia
53,3,5,,Uru
29,109,36,183,Urupês
52,374,70,311,Valentim Gentil
513,1143,215,131,Valinhos
96,286,638,1454,Valparaíso
15,6,11,8,Vargem
276,10,56,213,Vargem Grande do Sul
10,20,13,12,Vargem Grande Paulista
404,767,55,31,Várzea Paulista
47,1111,17,267,Vera Cruz
140,221,27,28,Vinhedo
1598,304,5,30,Viradouro
393,147,19,26,Vista Alegre do Alto
11,85,174,160,Vitória Brasil
3144,657,326,179,Votorantim
1107,10041,1091,9260,Votuporanga
2,153,27,11,Zacarias
157,113,10,16,Chavantes
264,71,11,17,Estiva Gerbi
