"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat","sample_mean"
"W_pred[8,92,4]",2.78667845754521,0.0168313117579993,1.06520593368162,1.11755288829855,2.00570401876639,2.6536105660764,3.41591149945093,5.19720909638688,4005.26472196104,1.00021754017077,2.14704988170819
"W_pred[8,93,1]",3.22981888847055,0.134249984286534,8.13093134704278,1.73873847674227e-13,0.0217905010835035,0.360649460464475,2.589351523176,25.1984053374368,3668.19235336204,0.999837567205284,7.70139200809725
"W_pred[8,93,2]",1.35633925726724,0.0392469205821074,2.36095303742936,0.000430626314811819,0.074694651952219,0.420714036383495,1.57138863849636,8.3036802293155,3618.79118607738,0.999576980470683,1.58694662877205
"W_pred[8,93,3]",0.949835910480986,0.0317069915712264,1.7554330381628,8.08309136086718e-13,0.0220103469736007,0.248594271611472,1.06936952893508,6.14573612004045,3065.1974892653,1.00015614604168,1.93371215802547
"W_pred[8,93,4]",15.7670877475365,0.0919869292658189,5.85256681019113,6.39308943617645,11.4743541629613,15.2217687447781,19.2230680776233,28.9916941696272,4048.00012731116,1.0001212951048,16.062964366453
"W_pred[8,94,1]",0.19286923476872,0.00786788215779606,0.481104635958398,1.25900357668615e-14,0.00127852532393532,0.0217870056323064,0.151071873535208,1.53783128089861,3739.06823230396,0.999827365101401,5.04221978543412e-08
"W_pred[8,94,2]",0.0813322075989415,0.00240323047183218,0.14355173886902,2.61800332321032e-05,0.00436997399211785,0.024804127472438,0.0930153542905889,0.479872416802655,3568.01006733637,0.999586716191145,0.0174315126062252
"W_pred[8,94,3]",0.0571167336569583,0.00192127160476842,0.106680464767463,4.67618379522815e-14,0.001316667577915,0.014873200398931,0.0643462245698004,0.373334566952211,3083.13307157495,1.00018769359988,0.000609899592519328
"W_pred[8,94,4]",0.948293784385374,0.00625782982848418,0.38688466373985,0.36097298241415,0.665765220920801,0.8946336338025,1.16226798091002,1.85009229577336,3822.21868166424,1.00032026110107,1.36879174279433
"W_pred[8,95,1]",0.062272397971937,0.00264226443372337,0.162244929877599,3.45029174663595e-15,0.000418834879174222,0.00685483774720894,0.0476286429647164,0.511461504445136,3770.41982411133,0.99968484504844,0.0108497397603465
"W_pred[8,95,2]",0.0265583271630597,0.00079210198830032,0.0485073991744818,8.50420837384542e-06,0.00134595902704061,0.00787056203098281,0.0287815546636268,0.169720756860909,3750.19432610077,0.999612923203797,0.00832505338270848
"W_pred[8,95,3]",0.0189188290616621,0.000657079329239793,0.0363748044523228,1.59302606395956e-14,0.000403019063505545,0.00464279704467998,0.0206506619940362,0.125191537885015,3064.54303362007,1.00005669086892,0.00833469892723038
"W_pred[8,95,4]",0.309622425432783,0.00232899606647189,0.146222912909357,0.0968362769529643,0.204682496218987,0.285457826353207,0.384249515663535,0.658331018738219,3941.78881111018,0.999837049560735,0.144816215452801
"W_pred[8,96,1]",0.344418268853696,0.0147325563153871,0.887747878145797,2.37426669882852e-14,0.00231485869113706,0.0380822253075017,0.278602255321367,2.6626014355907,3630.97339005723,0.999877522332941,0.00815722104114084
