2023,2022,2021,2020,NM_MUN,Average Maximum Temperature,Average Temperature,Average Precipitation,Average Rainfall,Municipalities
40,7,1,12,Bernardino de Campos,27.416666666666668,-0.23969848876008706,10.575000000000001,-0.16233884041498325,70
1424,157,509,58,Bertioga,27.916666666666668,1.092407204248081,12.549999999999999,2.0784598340244353,71
10,176,54,63,Bilac,29.833333333333336,1.1692594557677831,10.316666666666666,-1.1517213699786937,72
1776,9662,631,630,Birigui,29.666666666666668,1.092407204248081,10.299999999999999,-1.1481962540776345,73
13,61,11,6,Biritiba Mirim,24.166666666666668,-1.9304480221935332,12.575000000000001,1.6307701145900262,74
1741,884,9,52,Boa Esperança do Sul,28.583333333333332,0.2214150203581255,10.833333333333334,-0.5113253146197605,75
14,311,0,48,Bocaina,28.722222222222218,0.3068064109355725,10.597222222222221,-0.5540183849770206,76
8,4,63,0,Bofete,26.861111111111114,-0.7378149337951942,10.718518518518517,-0.6569648252727438,77
149,87,562,77,Boituva,27.416666666666668,-0.7008119978782996,10.841666666666667,-0.8227105525465802,78
40,67,10,14,Bom Jesus dos Perdões,25.75,-1.52056934742179,12.15,1.0726267635891222,79
0,1,1,0,Bom Sucesso de Itararé,24.083333333333332,-2.272013584503321,11.466666666666667,0.33705257890161217,80
26,80,0,19,Borá,28.583333333333332,0.426354357743997,10.4625,-0.16468891768235536,81
160,19,1,2,Boracéia,28.916666666666668,0.5800588607834012,10.391666666666667,-0.5430513577292868,82
747,1572,32,141,Borborema,29.416666666666668,1.2461117072874852,10.450000000000001,-0.9190637205088422,83
68,167,0,5,Borebi,27.5,-0.35924643556851593,10.444444444444445,-0.30177675827907163,84
426,270,55,43,Botucatu,25.916666666666668,-1.3156300100359164,10.674999999999999,-0.597103134878847,85
183,250,45,196,Bragança Paulista,25.916666666666668,-1.6230390161147248,11.983333333333334,1.0044745228353276,86
178,296,59,66,Braúna,29.4375,1.130833330007932,10.325,-1.1029572666807201,87
46,191,14,43,Brejo Alegre,29.625,1.1436420385945485,10.2875,-1.1258705200375987,88
803,68,21,72,Brodowski,28.25,-0.3421681574530239,11.508333333333333,0.7753419892665351,89
74,418,181,267,Brotas,27.583333333333332,-0.44463782614596076,10.85,-0.31391882416049444,90
28,4,525,0,Buri,26.083333333333332,-1.1106906726500447,11.049999999999999,-0.36797060131005666,91
12,1641,964,534,Buritama,29.583333333333332,1.194876872941018,10.275,-1.1035447859975627,92
120,50,1,18,Buritizal,28.930555555555557,0.5459023045524237,12.084027777777779,1.4224945167691634,93
8,50,2,1,Cabrália Paulista,28.458333333333336,0.4007369405707644,10.575,-0.35563269565635164,94
151,41,64,78,Cabreúva,26.083333333333332,-1.1619255069965122,11.549999999999999,-0.001358547599987668,95
362,165,45,127,Caçapava,27.583333333333332,-0.7008119978782996,12.575000000000001,0.7212902121169729,96
25,15,15,502,Cachoeira Paulista,28.0,-0.7008119978782996,12.725000000000001,0.7365657143548905,97
16,6,4,25,Caconde,26.666666666666668,-1.264395175689449,11.608333333333334,0.36642854474376435,98
171,81,559,74,Cafelândia,29.166666666666668,1.0411723699016138,10.641666666666667,-0.9930911544310682,99
89,82,0,20,Caiabu,29.5,0.7081459466495728,10.416666666666668,-0.289830532169929,100
41,87,74,35,Caieiras,25.333333333333332,-1.264395175689449,12.041666666666666,0.921046779843611,101
123,74,6,209,Caiuá,30.944444444444443,1.3998162103268894,10.450000000000001,-0.7400661686439906,102
64,140,107,29,Cajamar,25.333333333333332,-1.4180996787288531,11.916666666666666,0.7788671051675923,103
9,5,14,1380,Cajati,26.25,0.016475682972251795,13.258333333333333,3.9138701798421467,104
547,241,24,45,Cajobi,29.791666666666664,0.861850449688977,10.747916666666665,-0.5627332548435294,105
