Accession ID	Collection date	Submission date	Location
EPI_ISL_17673431	1990	2003-05-27	South America / Brazil / Sao Paulo / Barretos
EPI_ISL_17673432	1990	2003-05-27	South America / Brazil / Sao Paulo / Barretos
EPI_ISL_17673433	1990	2003-05-27	South America / Brazil / Sao Paulo / Barretos
EPI_ISL_17673434	1990	2003-05-27	South America / Brazil / Sao Paulo / Barretos
EPI_ISL_17673435	1990	2003-05-27	South America / Brazil / Sao Paulo / Barretos
EPI_ISL_17673436	1990	2003-05-27	South America / Brazil / Sao Paulo / Sao Paulo
EPI_ISL_17673437	1990	2003-05-27	South America / Brazil / Sao Paulo / Sao Paulo
EPI_ISL_17673438	1990	2003-05-27	South America / Brazil / Sao Paulo / Sao Paulo
EPI_ISL_17673439	1990	2003-05-27	South America / Brazil / Sao Paulo / Sao Paulo
EPI_ISL_17673440	1990	2003-05-27	South America / Brazil / Sao Paulo / Sao Paulo
EPI_ISL_17673441	1990	2003-05-27	South America / Brazil / Sao Paulo / Sao Paulo
EPI_ISL_17673442	1990	2003-05-27	South America / Brazil / Sao Paulo / Sao Paulo
EPI_ISL_17673443	1990	2003-05-27	South America / Brazil / Sao Paulo / Sao Paulo
EPI_ISL_17673444	1990	2003-05-27	South America / Brazil / Sao Paulo / Sao Paulo
EPI_ISL_17673445	1990	2003-05-27	South America / Brazil / Sao Paulo / Sao Paulo
EPI_ISL_17673446	1990	2003-05-27	South America / Brazil / Sao Paulo / Sao Paulo
EPI_ISL_17673447	1990	2003-05-27	South America / Brazil / Sao Paulo / Sao Paulo
EPI_ISL_17673448	1990	2003-05-27	South America / Brazil / Sao Paulo / Barueri
EPI_ISL_17673449	1990	2003-05-27	South America / Brazil / Sao Paulo / Barueri
EPI_ISL_17673450	1990	2003-05-27	South America / Brazil / Sao Paulo / Barueri
EPI_ISL_17673451	1990	2003-05-27	South America / Brazil / Sao Paulo / Barueri
EPI_ISL_17673452	1990	2003-05-27	South America / Brazil / Sao Paulo / Barueri
EPI_ISL_17673453	1990	2003-05-27	South America / Brazil / Sao Paulo / Barueri
EPI_ISL_17673454	1990	2003-05-27	South America / Brazil / Sao Paulo / Barueri
EPI_ISL_17673455	1990	2003-05-25	South America / Brazil / Sao Paulo / Sao Jose do Rio Preto
EPI_ISL_17673456	1990	2003-05-25	South America / Brazil / Sao Paulo / Sao Jose do Rio Preto
EPI_ISL_17673457	1990	2003-05-25	South America / Brazil / Sao Paulo / Sao Jose do Rio Preto
EPI_ISL_17673458	1990	2003-05-25	South America / Brazil / Sao Paulo / Sao Jose do Rio Preto
EPI_ISL_17673459	1990	2003-05-25	South America / Brazil / Sao Paulo / Sao Jose do Rio Preto
EPI_ISL_17673460	1990	2003-05-25	South America / Brazil / Sao Paulo / Sao Jose do Rio Preto
EPI_ISL_17673461	1990	2003-05-25	South America / Brazil / Sao Paulo / Sao Jose do Rio Preto
EPI_ISL_17673462	1990	2003-05-25	South America / Brazil / Sao Paulo / Sao Jose do Rio Preto
EPI_ISL_17673463	1990	2003-05-25	South America / Brazil / Sao Paulo / Ribeirao Preto
EPI_ISL_17673464	1990	2003-05-25	South America / Brazil / Sao Paulo / Ribeirao Preto
EPI_ISL_17673465	1990	2003-05-25	South America / Brazil / Sao Paulo / Santos
EPI_ISL_17673466	1990	2003-05-25	South America / Brazil / Sao Paulo / Santos
EPI_ISL_17673467	1990	2003-05-25	South America / Brazil / Sao Paulo / Santos
EPI_ISL_17673468	1990	2003-05-25	South America / Brazil / Sao Paulo / Campinas
EPI_ISL_17673469	1990	2003-05-25	South America / Brazil / Sao Paulo / Campinas
EPI_ISL_17673470	1990	2003-05-25	South America / Brazil / Sao Paulo / Campinas
EPI_ISL_17673471	1990	2003-05-25	South America / Brazil / Sao Paulo / Barretos
EPI_ISL_17673472	1990	2003-05-25	South America / Brazil / Sao Paulo / Barretos
EPI_ISL_17673473	1990	2003-05-25	South America / Brazil / Sao Paulo / Barretos
EPI_ISL_17673474	1990	2003-05-25	South America / Brazil / Sao Paulo / Barretos
EPI_ISL_17673475	1990	2003-05-25	South America / Brazil / Sao Paulo / Barretos
EPI_ISL_17673476	1990	2003-05-25	South America / Brazil / Sao Paulo / Barretos
EPI_ISL_17673477	2010	2010-08-26	South America / Brazil / Sao Paulo
EPI_ISL_17673478	2010	2010-08-26	South America / Brazil / Sao Paulo
EPI_ISL_17673479	2010	2010-08-26	South America / Brazil / Sao Paulo
EPI_ISL_17673480	2010	2010-08-26	South America / Brazil / Sao Paulo
EPI_ISL_17673494	2012-06-01	2022-02-10	South America / Brazil / Sao Paulo / Sao Jose do Rio Preto
EPI_ISL_17673495	2021-04-16	2022-05-05	South America / Brazil / Sao Paulo / Guaruja
EPI_ISL_17673496	2023-01-03	2023-04-10	South America / Brazil / Sao Paulo / Andradina
EPI_ISL_17673497	2023-01-02	2023-04-10	South America / Brazil / Sao Paulo / Orlandia
EPI_ISL_17673498	2023-01-02	2023-04-10	South America / Brazil / Sao Paulo / Orlandia
EPI_ISL_17673499	2023-01-02	2023-04-10	South America / Brazil / Sao Paulo / Orlandia
EPI_ISL_17673500	2023-01-10	2023-04-10	South America / Brazil / Sao Paulo / Taubate
EPI_ISL_17673501	2023-01-10	2023-04-10	South America / Brazil / Sao Paulo / Rosana
EPI_ISL_17673502	2023-01-07	2023-04-10	South America / Brazil / Sao Paulo / Rosana
EPI_ISL_17673503	2023-01-09	2023-04-10	South America / Brazil / Sao Paulo / Maua
EPI_ISL_17673504	2023-01-09	2023-04-10	South America / Brazil / Sao Paulo / Sorocaba
EPI_ISL_17673505	2023-01-10	2023-04-10	South America / Brazil / Sao Paulo / Taubate
EPI_ISL_17673506	2023-01-19	2023-04-10	South America / Brazil / Sao Paulo / Rosana
EPI_ISL_17673507	2023-01-19	2023-04-10	South America / Brazil / Sao Paulo / Araras
EPI_ISL_17673508	2023-01-16	2023-04-10	South America / Brazil / Sao Paulo / Bauru
EPI_ISL_17673509	2023-01-16	2023-04-10	South America / Brazil / Sao Paulo / Marilia
EPI_ISL_17673510	2023-01-24	2023-04-10	South America / Brazil / Sao Paulo / Franco Da Rocha
EPI_ISL_17673511	2023-01-27	2023-04-10	South America / Brazil / Sao Paulo / Franco da Rocha
EPI_ISL_17673512	2023-01-24	2023-04-10	South America / Brazil / Sao Paulo / Pirassununga
EPI_ISL_17673513	2023-01-26	2023-04-10	South America / Brazil / Sao Paulo / Cajobi
EPI_ISL_17673514	2023-02-01	2023-04-10	South America / Brazil / Sao Paulo / Rosana
EPI_ISL_17673515	2023-02-01	2023-04-10	South America / Brazil / Sao Paulo / Rosana
EPI_ISL_17673516	2023-01-28	2023-04-10	South America / Brazil / Sao Paulo / Franco da Rocha
EPI_ISL_17673517	2023-01-08	2023-04-10	South America / Brazil / Sao Paulo
EPI_ISL_17673518	2023-02-02	2023-04-10	South America / Brazil / Sao Paulo / Cajobi
EPI_ISL_17673519	2023-01-31	2023-04-10	South America / Brazil / Sao Paulo / Itapolis
EPI_ISL_17673520	2023-02-06	2023-04-10	South America / Brazil / Sao Paulo / Andradina
EPI_ISL_17673521	2023-02-08	2023-04-10	South America / Brazil / Sao Paulo / Rosana
EPI_ISL_17673522	2023-02-08	2023-04-10	South America / Brazil / Sao Paulo / Guaimbe
EPI_ISL_17673523	2023-02-06	2023-04-10	South America / Brazil / Sao Paulo / Tupa
EPI_ISL_17673524	2023-02-13	2023-04-10	South America / Brazil / Sao Paulo / Andradina
EPI_ISL_17673525	2023-02-13	2023-04-10	South America / Brazil / Sao Paulo / Andradina
EPI_ISL_17673526	2023-02-01	2023-04-10	South America / Brazil / Sao Paulo / Presidente Prudente
EPI_ISL_17673527	2023-02-13	2023-04-10	South America / Brazil / Sao Paulo / Taubate
EPI_ISL_17673528	2023-02-09	2023-04-10	South America / Brazil / Sao Paulo / Orlandia
EPI_ISL_17673529	2023-02-13	2023-04-10	South America / Brazil / Sao Paulo / Guaira
EPI_ISL_17673530	2023-01-13	2023-04-10	South America / Brazil / Sao Paulo / Alfredo Marcondes
EPI_ISL_17673531	2023-01-19	2023-04-10	South America / Brazil / Sao Paulo / Rosana
EPI_ISL_17673532	2023-01-25	2023-04-10	South America / Brazil / Sao Paulo / Taquaritinga
EPI_ISL_17673533	2023-01-24	2023-04-10	South America / Brazil / Sao Paulo / Salto Grande
EPI_ISL_17673534	2023-01-27	2023-04-10	South America / Brazil / Sao Paulo / Sao Joaquim da Barra
EPI_ISL_17673535	2023-02-07	2023-04-10	South America / Brazil / Sao Paulo / Taquaritinga
EPI_ISL_17673536	2023-02-12	2023-04-10	South America / Brazil / Sao Paulo / Taquaritinga
